Proxy Path Suffix,Date Time,Sum of Traffic
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:26:00+0000,0
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:30:00+0000,0
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:31:00+0000,0
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:33:00+0000,0
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:39:00+0000,0
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:40:00+0000,2
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:42:00+0000,1
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:43:00+0000,2
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:44:00+0000,3
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:48:00+0000,1
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:49:00+0000,0
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:50:00+0000,2
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:51:00+0000,3
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:52:00+0000,3
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:53:00+0000,1
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:56:00+0000,1
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:57:00+0000,0
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 02:59:00+0000,0
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 03:12:00+0000,1
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 03:13:00+0000,1
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 03:19:00+0000,2
/7a54134a-e085-11e4-a7cf-4d5c945f571b,2015-04-26 03:20:00+0000,1
,2015-04-26 02:26:00+0000,1
,2015-04-26 02:30:00+0000,2
,2015-04-26 02:31:00+0000,1
,2015-04-26 02:33:00+0000,2
,2015-04-26 02:39:00+0000,3
,2015-04-26 02:40:00+0000,1
,2015-04-26 02:42:00+0000,0
,2015-04-26 02:43:00+0000,0
,2015-04-26 02:44:00+0000,0
,2015-04-26 02:48:00+0000,0
,2015-04-26 02:49:00+0000,1
,2015-04-26 02:50:00+0000,2
,2015-04-26 02:51:00+0000,0
,2015-04-26 02:52:00+0000,0
,2015-04-26 02:53:00+0000,0
,2015-04-26 02:56:00+0000,0
,2015-04-26 02:57:00+0000,0
,2015-04-26 02:59:00+0000,1
,2015-04-26 03:12:00+0000,0
,2015-04-26 03:13:00+0000,0
,2015-04-26 03:19:00+0000,0
,2015-04-26 03:20:00+0000,0
/fad0a11a-e872-11e4-b0c2-ff8f09ea3f28,2015-04-26 02:26:00+0000,0
/fad0a11a-e872-11e4-b0c2-ff8f09ea3f28,2015-04-26 02:30:00+0000,0
/fad0a11a-e872-11e4-b0c2-ff8f09ea3f28,2015-04-26 02:31:00+0000,0
/fad0a11a-e872-11e4-b0c2-ff8f09ea3f28,2015-04-26 02:33:00+0000,0
/fad0a11a-e872-11e4-b0c2-ff8f09ea3f28,2015-04-26 02:39:00+0000,0
/fad0a11a-e872-11e4-b0c2-ff8f09ea3f28,2015-04-26 02:40:00+0000,0
/fad0a11a-e872-11e4-b0c2-ff8f09ea3f28,2015-04-26 02:42:00+0000,0
/fad0a11a-e872-11e4-b0c2-ff8f09ea3f28,2015-04-26 02:43:00+0000,0
